"indicator","period","start","end","group","subgroup","value"
"Took Prescription Medication for Mental Health, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","West Virginia",23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Wisconsin",18.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Wyoming",22.3
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Alabama",7.5
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Alaska",8.6
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Arizona",8
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Arkansas",5.5
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","California",9.3
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Colorado",12.7
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Connecticut",10.4
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Delaware",8.6
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","District of Columbia",15.7
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Florida",8.1
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Georgia",7.9
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Hawaii",6.8
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Idaho",7.7
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Illinois",10
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Indiana",8.1
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Iowa",6.3
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Kansas",9.9
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Kentucky",9.6
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Louisiana",9.1
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Maine",10.4
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Maryland",11.2
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Massachusetts",13.6
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Michigan",8.6
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Minnesota",10.3
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Mississippi",6.7
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Missouri",7.9
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Montana",7.9
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Nebraska",7.4
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Nevada",8.5
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","New Hampshire",9.9
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","New Jersey",7.9
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","New Mexico",10.8
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","New York",10.1
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","North Carolina",8.1
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","North Dakota",5.1
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Ohio",9.5
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Oklahoma",6.2
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Oregon",10.5
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Pennsylvania",10.4
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Rhode Island",7.9
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","South Carolina",8
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","South Dakota",5.4
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Tennessee",8.2
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Texas",8.3
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Utah",10.7
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Vermont",13.1
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Virginia",10
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Washington",8.8
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","West Virginia",7.4
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Wisconsin",7.7
"Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Wyoming",7.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Alabama",27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Alaska",20.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Arizona",21.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Arkansas",22.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","California",19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Colorado",27.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Connecticut",26.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Delaware",22.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","District of Columbia",26.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Florida",22.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Georgia",21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Hawaii",13.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Idaho",23.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Illinois",22.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Indiana",23.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Iowa",25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Kansas",27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Kentucky",28.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Louisiana",26.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Maine",24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Maryland",21.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Massachusetts",27.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Michigan",23.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Minnesota",25.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Mississippi",21.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Missouri",25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Montana",28.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Nebraska",22.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Nevada",20.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","New Hampshire",25.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","New Jersey",20.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","New Mexico",25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","New York",20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","North Carolina",23.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","North Dakota",24.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Ohio",23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Oklahoma",22.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Oregon",22.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Pennsylvania",25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Rhode Island",25.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","South Carolina",23.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","South Dakota",23.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Tennessee",26.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Texas",21.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Utah",28.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Vermont",29.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Virginia",22.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Washington",24.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","West Virginia",25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Wisconsin",20.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Wyoming",24.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Alabama",14.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Alaska",9.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Arizona",9.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Arkansas",9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","California",13.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Colorado",13.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Connecticut",10.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Delaware",9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","District of Columbia",12.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Florida",9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Georgia",10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Hawaii",6.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Idaho",10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Illinois",9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Indiana",9.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Iowa",8.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Kansas",9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Kentucky",9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Louisiana",11.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Maine",7.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Maryland",9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Massachusetts",9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Michigan",8.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Minnesota",11.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Mississippi",9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Missouri",9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Montana",10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Nebraska",8.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Nevada",11.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","New Hampshire",7.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","New Jersey",9.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","New Mexico",14
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","New York",11.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","North Carolina",9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","North Dakota",6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Ohio",8.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Oklahoma",7.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Oregon",14
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Pennsylvania",8.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Rhode Island",7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","South Carolina",9.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","South Dakota",6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Tennessee",10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Texas",10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Utah",15.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Vermont",9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Virginia",9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Washington",11.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","West Virginia",13
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Wisconsin",6.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","15",2020-09-16,2020-09-28,"By State","Wyoming",8
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Alabama",26.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Alaska",15.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Arizona",19.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Arkansas",25
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","California",15.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Colorado",18.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Connecticut",19.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Delaware",22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","District of Columbia",14.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Florida",17.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Georgia",19.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Hawaii",13
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Idaho",20.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Illinois",18
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Indiana",22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Iowa",23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Kansas",20.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Kentucky",25.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Louisiana",24.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Maine",24.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Maryland",20.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Massachusetts",21.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Michigan",19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Minnesota",20.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Mississippi",21
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Missouri",22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Montana",19.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Nebraska",19
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Nevada",16.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New Hampshire",19
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New Jersey",16.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New Mexico",20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New York",18.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","North Carolina",21.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","North Dakota",19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Ohio",19.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Oklahoma",26.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Oregon",21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Pennsylvania",20.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Rhode Island",25
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","South Carolina",22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","South Dakota",20.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Tennessee",21.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Texas",17.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Utah",23.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Vermont",19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Virginia",19.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Washington",20.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","West Virginia",32.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Wisconsin",19.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Wyoming",18.5
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Alabama",7.6
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Alaska",8.9
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Arizona",9.1
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Arkansas",6.5
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","California",10.1
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Colorado",10.4
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Connecticut",11.3
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Delaware",7.3
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","District of Columbia",14.8
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Florida",6.8
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Georgia",8.4
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Hawaii",9
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Idaho",8.7
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Illinois",8.1
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Indiana",7
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Iowa",6.1
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Kansas",8.8
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Kentucky",8.1
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Louisiana",9
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Maine",9.4
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Maryland",11.5
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Massachusetts",13.1
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Michigan",8
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Minnesota",8.7
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Mississippi",5.7
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Missouri",8.8
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Montana",7.7
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Nebraska",7.2
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Nevada",7.8
